,title,jobFunction,industry
891,Senior .NET Developer - MVC,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
892,Software Sales Manager - French Speaker,"['IT/Software Development', 'Sales/Retail']",['Information Technology Services']
893,Telemarketing Specialist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising', 'Sales/Retail']","['Computer Networking', 'Information Technology Services', 'Computer Software']"
894,Sales Manager,['nan'],['Construction - Residential & Commercial/Office']
895,Social Media Specialist,"['Marketing/PR/Advertising', 'Creative/Design/Art', 'Media/Journalism/Publishing']",['Computer Software']
896,Montessori English Teacher,['Education/Teaching'],['Education']
897,Sr. Mobile Cross Platform Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
898,Social Media Specialist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Education', 'Marketing and Advertising']"
899,Senior .NET Developer - Full Stack,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Internet/E-commerce', 'Information Technology Services']"
900,Sales Engineer - Textile Dyes,['Sales/Retail'],"['Retail', 'Engineering Services', 'Chemicals']"
901,Sales Operations Specialist,"['Operations/Management', 'Sales/Retail']",['Real Estate/Property Management']
902,Telesales Representative (Software),"['Sales/Retail', 'Customer Service/Support', 'IT/Software Development']","['Computer Software', 'Internet/E-commerce', 'Information Technology Services']"
903,IT Infrastructure System Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software', 'Computer Hardware']"
904,Sales Manager,"['Operations/Management', 'Sales/Retail']","['Marketing and Advertising', 'Manufacturing']"
905,Outdoor Sales Representative - Alexandria,['Sales/Retail'],"['Fine Art', 'Marketing and Advertising', 'Graphic Design']"
906,Planning Engineer,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical']",['Construction - Residential & Commercial/Office']
907,Cloud Team Lead,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
908,Administrative Assistant,['Administration'],['Information Technology Services']
909,Java Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
910,Senior Oracle Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Engineering Services', 'Computer Software']"
911,Senior EDI Integration Analyst,"['Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research']",['Computer Software']
912,Fire Alarm Site Engineer,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical']","['Security and Surveillance', 'Engineering Services']"
913,Sales Representative,"['Customer Service/Support', 'Sales/Retail']",['Real Estate/Property Management']
914,.Net Developer,['IT/Software Development'],['Information Technology Services']
915,Junior Full Stack .Net Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
916,Teacher Of English - Unit Supervisor,['Education/Teaching'],"['Education', 'Training and Coaching']"
917,General Accountant/ Real Estate & Contracting,['Accounting/Finance'],['Real Estate/Property Management']
918,Electrical Draftsman,['Creative/Design/Art'],['Engineering Services']
919,Front-End Web Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Human Resources', 'Higher Education', 'Computer Software']"
920,Odoo Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
921,Marketing Specialist - Alexandria,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Management Consulting', 'Marketing and Advertising']"
922,Senior .Net Core Developer,['IT/Software Development'],['Information Technology Services']
923,Senior Front End Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
924,Logistics Engineer,"['Logistics/Supply Chain', 'Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical']","['Construction - Industrial Facilities and Infrastructure', 'Management Consulting', 'Engineering Services']"
925,Software QC Team Leader,"['Quality', 'IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
926,Creative Copywriter,"['Writing/Editorial', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing']",['Marketing and Advertising']
927,Marketing & Public Relations Manager,['Marketing/PR/Advertising'],"['Marketing and Advertising', 'Healthcare and Medical Services']"
928,Liferay Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Software', 'Computer Networking', 'Information Technology Services']"
929,French After School Teacher,['Education/Teaching'],['Education']
930,Textile Designer And Developer,['Creative/Design/Art'],['Manufacturing']
931,Business Development Executive (EMEA),"['Business Development', 'Sales/Retail']","['Internet/E-commerce', 'Information Technology Services', 'Financial Services']"
932,CRM Customer Support,['Customer Service/Support'],"['Marketing and Advertising', 'Internet/E-commerce', 'Computer Software']"
933,Motion Graphics Designer,['Creative/Design/Art'],['Marketing and Advertising']
934,English Teacher - Primary Stages,['Education/Teaching'],['Education']
935,Senior Angular Front-End Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
936,Customer Success Manager (E - Pharmacy),"['Pharmaceutical', 'Project/Program Management']","['Internet/E-commerce', 'Information Technology Services', 'Healthcare and Medical Services']"
937,Technical Office Manager,['Engineering - Construction/Civil/Architecture'],"['Construction - Industrial Facilities and Infrastructure', 'Construction - Residential & Commercial/Office']"
938,"Cashier | Automotive | Cairo, Egypt",['Accounting/Finance'],"['Construction - Residential & Commercial/Office', 'Real Estate/Property Management', 'Retail']"
939,Senior BI Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
940,Copy & Content Writer,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Information Technology Services', 'Computer Software', 'Marketing and Advertising']"
941,Azure Cloud Infrastructure Engineer,['Engineering - Telecom/Technology'],"['Computer Software', 'Food and Beverage Production']"
942,HR Specialist,['Human Resources'],"['Human Resources', 'Computer Software', 'Education']"
943,.Net Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
944,UI/User Interface Developer,"['Engineering - Telecom/Technology', 'Creative/Design/Art', 'IT/Software Development']",['Information Technology Services']
945,Civil Engineer,['Engineering - Construction/Civil/Architecture'],"['Furniture', 'Manufacturing']"
946,Software Application Support Specialist,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Customer Service/Support']",['Computer Software']
947,Customer Service Engineer,"['Installation/Maintenance/Repair', 'Customer Service/Support', 'Engineering - Mechanical/Electrical']",['Information Technology Services']
948,Technical Support Engineer,"['Engineering - Telecom/Technology', 'Installation/Maintenance/Repair', 'IT/Software Development']",['Education']
949,Receptionist,"['Administration', 'Customer Service/Support']",['Real Estate/Property Management']
950,Application Consultant - ERP Implementer,"['IT/Software Development', 'Customer Service/Support']","['Business Services - Other', 'Information Technology Services', 'Computer Software']"
951,Back-End Developer In Brazil - GE,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software', 'Engineering Services']"
952,Senior BI Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Telecommunications', 'Internet/E-commerce']"
953,.Net Technical Lead,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
954,Indoor Sales Executive - Females Only,"['Sales/Retail', 'Customer Service/Support']",['Information Technology Services']
955,Real Estate Sales Specialist,['Sales/Retail'],['Real Estate/Property Management']
956,Junior Digital Marketing Specialist,['Marketing/PR/Advertising'],['Marketing and Advertising']
957,Data Entry Agent,['Analyst/Research'],"['Human Resources', 'Higher Education', 'Computer Software']"
958,Full Stack Developer Team Leader,"['Engineering - Telecom/Technology', 'IT/Software Development', 'Installation/Maintenance/Repair']",['Computer Software']
959,Senior Oracle APEX Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
960,ODOO Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Internet/E-commerce', 'Information Technology Services', 'Computer Software']"
961,E-Payment Consultant,"['Accounting/Finance', 'IT/Software Development']","['Banking', 'Information Technology Services']"
962,Software QC Team Leader,"['Quality', 'IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
963,Executive Secretary And Receptionist,['Administration'],['Marketing and Advertising']
964,Content Creator / Developer,['Media/Journalism/Publishing'],['Education']
965,Civil Engineer,['Engineering - Construction/Civil/Architecture'],"['Construction - Residential & Commercial/Office', 'Real Estate/Property Management']"
966,Call Center Agent - Females Only,['Customer Service/Support'],"['Internet/E-commerce', 'Online Media', 'Marketing and Advertising']"
967,Senior Java Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
968,Business Development Executive,"['Sales/Retail', 'Marketing/PR/Advertising', 'Business Development']","['Entertainment', 'Online Media', 'Marketing and Advertising']"
969,iOS Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
970,Digital Marketing Entrepreneur In Turkey-GE,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising', 'Creative/Design/Art']","['Market Research', 'Marketing and Advertising', 'Graphic Design']"
971,Full Stack Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Software', 'Information Technology Services']"
972,Senior Mobile Developer - Android/iOS,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Internet/E-commerce', 'Computer Software', 'Information Technology Services']"
973,Digital Media Buyer,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Marketing and Advertising', 'Media Production']"
974,English Teacher - Grade 4,['Education/Teaching'],['Education']
975,Back-End Web Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Internet/E-commerce', 'Information Technology Services']"
976,Senior Business Analyst,"['Analyst/Research', 'IT/Software Development', 'Quality']","['Computer Software', 'Information Technology Services']"
977,Business Development Manager (Males Only),"['Operations/Management', 'Sales/Retail', 'Business Development']","['Management Consulting', 'Information Technology Services', 'Outsourcing/Offshoring']"
978,Finance Manager,['Accounting/Finance'],"['Financial Services', 'Real Estate/Property Management']"
979,Food & Beverage Director,['Hospitality/Hotels/Food Services'],['Construction - Residential & Commercial/Office']
980,Sales Executive,['Sales/Retail'],['Real Estate/Property Management']
981,.Net Team Leader,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
982,Scrum Master,"['Engineering - Telecom/Technology', 'Project/Program Management', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
983,Marketing Specialist - Alexandria,['Marketing/PR/Advertising'],['Manufacturing']
984,Senior Mechanical Site Engineer,['Engineering - Mechanical/Electrical'],"['Construction - Industrial Facilities and Infrastructure', 'Engineering Services']"
985,Admin Coordinator,['Administration'],['Real Estate/Property Management']
986,Senior Java Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
987,Mechanical Engineer,['Engineering - Mechanical/Electrical'],"['Engineering Services', 'Architectural and Design Services', 'Construction - Residential & Commercial/Office']"
988,Senior Software Quality Control Engineer,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Quality']",['Computer Software']
989,Sales Engineer,"['Engineering - Mechanical/Electrical', 'Sales/Retail']","['Engineering Services', 'Business Supplies and Equipment']"
990,Senior Front-End Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Software', 'Information Technology Services']"
991,Senior Graphic Designer,"['Creative/Design/Art', 'Media/Journalism/Publishing']","['Graphic Design', 'Marketing and Advertising']"
992,Professional 3D Designer,['Creative/Design/Art'],['Real Estate/Property Management']
993,Cost Accountant & Stores Specialist,"['Logistics/Supply Chain', 'Accounting/Finance']",['Information Technology Services']
994,Sales Logistics Officer - French,"['Sales/Retail', 'Logistics/Supply Chain']",['Computer Software']
995,Senior Front-End Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Transportation']"
996,Assistant Project Manager,"['Project/Program Management', 'IT/Software Development', 'Engineering - Telecom/Technology']","['Management Consulting', 'Information Technology Services', 'Computer Software']"
997,Tech Host / Media Intern (Information Technology) - GE/A.A,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
998,Real Estate Sales Agent /Alexandria,['Sales/Retail'],"['Consulting Services', 'Marketing and Advertising', 'Real Estate/Property Management']"
999,Senior Network Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Networking']"
1000,Senior Business Analyst / Product Owner,['Analyst/Research'],['Information Technology Services']
1001,Structural Engineer - Combustion Equipment & Boiler Rooms,['nan'],['Construction - Residential & Commercial/Office']
1002,Android Developer,['IT/Software Development'],"['Computer Software', 'Information Technology Services']"
1003,Graphic Designer,"['Marketing/PR/Advertising', 'Creative/Design/Art']","['Graphic Design', 'Marketing and Advertising', 'Fine Art']"
1004,IT Help Desk Specialist,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology']","['Telecommunications', 'Information Technology Services']"
1005,Account Receivable Specialist,['Accounting/Finance'],"['Banking', 'Manufacturing', 'Information Technology Services']"
1006,English Co-Teacher,['Education/Teaching'],['Education']
1007,Digital Marketing Entrepreneur - Turkey - GE,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising', 'Creative/Design/Art']","['Market Research', 'Marketing and Advertising', 'Graphic Design']"
1008,Senior Back-End Software Engineer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
1009,English Instructor - New Cairo,"['Training/Instructor', 'Education/Teaching']",['Education']
1010,Architect - Exterior Designer,"['Engineering - Construction/Civil/Architecture', 'Creative/Design/Art']",['Real Estate/Property Management']
1011,Sales Coordinator,['Sales/Retail'],"['E-Learning', 'Education']"
1012,Front End Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Internet/E-commerce', 'Information Technology Services']"
1013,Infrastructure Sales Manager,"['IT/Software Development', 'Sales/Retail']","['Computer Software', 'Computer Networking', 'Information Technology Services']"
1014,Business Development Representative,"['Business Development', 'Sales/Retail']",['Computer Software']
1015,PHP Team Leader,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
1016,IT Specialist (SaaS),['IT/Software Development'],"['Computer Software', 'Information Technology Services']"
1017,Senior Software QC,"['Quality', 'Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
1018,Senior Presales Engineer,"['Sales/Retail', 'Engineering - Mechanical/Electrical']","['Energy and Utilities', 'Manufacturing', 'Engineering Services']"
1019,Microsoft Unified Communications Expert,"['Installation/Maintenance/Repair', 'Engineering - Telecom/Technology']",['Information Technology Services']
1020,Senior .Net Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Business Services - Other', 'Computer Software']"
1021,Architectural Engineer,['Engineering - Construction/Civil/Architecture'],"['Marketing and Advertising', 'Construction - Residential & Commercial/Office']"
1022,Accountant (Real Estate) - 5th Settlement,['Accounting/Finance'],['Real Estate/Property Management']
1023,UI/UX Designer - Alexandria,"['Creative/Design/Art', 'IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
1024,Senior .Net Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Networking', 'Computer Software']"
1025,IT Help Disk Engineer,"['Engineering - Telecom/Technology', 'Installation/Maintenance/Repair', 'IT/Software Development']",['Education']
1026,IT Administrator,"['Engineering - Telecom/Technology', 'Installation/Maintenance/Repair', 'IT/Software Development']",['Marketing and Advertising']
1027,Automation Engineer,['Engineering - Mechanical/Electrical'],['Engineering Services']
1028,Flutter Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
1029,.Net Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Consulting Services', 'Information Technology Services', 'Computer Software']"
1030,Data Cabling Site Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
1031,Lawyer,['Legal'],['Real Estate/Property Management']
1032,Web Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Marketing and Advertising']
1033,Senior PHP Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
1034,ASP Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
1035,Tech Host / Media Intern (Information Technology) - GE/A.A,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
1036,Sales Executive,['Sales/Retail'],"['Information Technology Services', 'Computer Software', 'Computer Networking']"
1037,NodeJS Back-End Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Internet/E-commerce', 'Computer Software']"
1038,Mobile Developer - iOS & Android,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Graphic Design', 'Computer Games', 'Computer Software']"
1039,Cost Accountant & Store Specialist,"['Accounting/Finance', 'Logistics/Supply Chain']",['Information Technology Services']
1040,IT Sales Representative,"['Customer Service/Support', 'Sales/Retail']",['Information Technology Services']
1041,HCM Consultant,"['Human Resources', 'IT/Software Development']",['Information Technology Services']
1042,Junior Odoo Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services']"
1043,Store Manager,['Logistics/Supply Chain'],['Construction - Residential & Commercial/Office']
1044,Graphic Designer,['Creative/Design/Art'],['Marketing and Advertising']
1045,.NET Backend Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
1046,Unity Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Graphic Design', 'Computer Software', 'Computer Games']"
1047,Tax Accountant,['Accounting/Finance'],['Healthcare and Medical Services']
1048,Public Relations & Sales Specialist,"['Marketing/PR/Advertising', 'Sales/Retail']","['Internet/E-commerce', 'Information Technology Services']"
1049,Solution Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
1050,Corporate Sales Executive,['Sales/Retail'],"['Computer Software', 'Computer Networking', 'Information Technology Services']"
1051,Mechanical Engineering Manager,"['Engineering - Mechanical/Electrical', 'Operations/Management']","['Construction - Residential & Commercial/Office', 'Consulting Services']"
1052,Senior Oracle Apps Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
1053,Sales Representative / Buisness to Buisness Salesmen,['Sales/Retail'],['Manufacturing']
1054,Project Manager ( Software ),"['Project/Program Management', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software', 'Computer and Network Security']"
1055,IT Specialist,"['IT/Software Development', 'Installation/Maintenance/Repair', 'Engineering - Telecom/Technology']",['Information Technology Services']
1056,Account Executive - BTL Advertising Agency,"['Marketing/PR/Advertising', 'Customer Service/Support', 'Sales/Retail']",['Marketing and Advertising']
1057,Mechanical Site Engineer,['Engineering - Mechanical/Electrical'],"['Construction - Industrial Facilities and Infrastructure', 'Engineering Services']"
1058,FrontEnd Developer (Angular),"['IT/Software Development', 'Engineering - Telecom/Technology']","['Internet/E-commerce', 'Computer Software']"
1059,ETL Developer - SSIS,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
1060,Senior Technical Office Engineer,['Engineering - Construction/Civil/Architecture'],['Real Estate/Property Management']
1061,Accounting Manager,['Accounting/Finance'],['Marketing and Advertising']
1062,Media Monitoring Executive - Night Shift,"['Analyst/Research', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Research', 'Marketing and Advertising']"
1063,Java Technical Lead,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
1064,Senior Operation Specialist,"['Administration', 'Operations/Management', 'Customer Service/Support']","['Computer Software', 'Healthcare and Medical Services']"
1065,Senior Security Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
1066,Coordination Engineer - Sales Team,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical', 'Sales/Retail']",['Engineering Services']
1067,Mobile Developer - Indonesia - GE,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Networking', 'Computer and Network Security', 'Computer Software']"
1068,HR Generalist,['Human Resources'],['Marketing and Advertising']
1069,Mobile Developer - Indonesia - GE,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Networking', 'Computer and Network Security', 'Computer Software']"
1070,Senior Sales For ABB Panels & Drives,"['Engineering - Mechanical/Electrical', 'Sales/Retail']",['Engineering Services']
1071,Senior Product UX/UI Designer - Alexandria,"['Creative/Design/Art', 'IT/Software Development']","['Internet/E-commerce', 'Information Technology Services', 'Computer Software']"
1072,Senior .Net Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
1073,Telesales Specialist - Females Only,"['Customer Service/Support', 'Sales/Retail']",['Information Technology Services']
1074,Junior Android Developer - Sharqia,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
1075,Digital Marketing Specialist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']",['Marketing and Advertising']
1076,ODOO Developer,['IT/Software Development'],['Manufacturing']
1077,Senior Business Developer,"['Marketing/PR/Advertising', 'Sales/Retail']","['Marketing and Advertising', 'Public Relations and Communications', 'Computer Software']"
1078,Sales / Customer Service Agent,"['Customer Service/Support', 'Sales/Retail']","['Consumer Services', 'Marketing and Advertising', 'Accounting and Auditing Services']"
1079,Senior Software Engineer - Full Stack (Alexandria),"['IT/Software Development', 'Engineering - Telecom/Technology']","['E-Learning', 'Education']"
1080,Content Creation Intern,"['Marketing/PR/Advertising', 'Creative/Design/Art']",['Marketing and Advertising']
1081,Sales Representative,['Sales/Retail'],"['Marketing and Advertising', 'Consumer Services', 'Telecommunications']"
1082,Site Accountant,['Accounting/Finance'],['Real Estate/Property Management']
1083,Customer Service Manager,['Customer Service/Support'],['Real Estate/Property Management']
1084,Telesales Representative,"['Customer Service/Support', 'Sales/Retail']","['Computer Software', 'Computer Networking', 'Information Technology Services']"
1085,Teachers - International Schools - Dammam,['Education/Teaching'],['Education']
1086,IT Sales Account Manager (Outdoor),"['IT/Software Development', 'Sales/Retail', 'Business Development']","['Computer and Network Security', 'Computer Software', 'Information Technology Services']"
1087,Receptionist,"['Administration', 'Customer Service/Support']","['Engineering Services', 'Education']"
1088,Sales Coordinator,"['Administration', 'Sales/Retail']",['Construction - Residential & Commercial/Office']
1089,Marketing Manager,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Education', 'Training and Coaching']"
1090,Software Product Manager,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Marketing/PR/Advertising']",['Computer Software']
1091,Junior Technical Support Specialist,"['Installation/Maintenance/Repair', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Networking', 'Computer Software']"
1092,Contracts Admin & Accountant,"['Accounting/Finance', 'Administration']",['Information Technology Services']
1093,Sales Specialist,['Sales/Retail'],"['Computer Software', 'Research']"
1094,Customer Service Representative,['Customer Service/Support'],['Real Estate/Property Management']
1095,Senior PHP Full Stack Web Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Engineering Services', 'Computer Software', 'Research']"
1096,Senior Oracle Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Business Services - Other', 'Computer Software']"
1097,Accounts Receivable Accountant,['Accounting/Finance'],"['Construction - Residential & Commercial/Office', 'Real Estate/Property Management']"
1098,Huawei Field Network Engineer,"['Engineering - Telecom/Technology', 'Installation/Maintenance/Repair', 'Project/Program Management']","['Information Technology Services', 'Security and Surveillance', 'Telecommunications']"
1099,Nurse,['Medical/Healthcare'],['Education']
1100,Creative Graphic Designer,"['Creative/Design/Art', 'Marketing/PR/Advertising']","['Fine Art', 'Marketing and Advertising']"
1101,Content Writer,['Media/Journalism/Publishing'],"['Construction - Residential & Commercial/Office', 'Real Estate/Property Management']"
1102,DevOps Engineer - Alexandria / Cairo,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Internet/E-commerce', 'Travel and Tourism']"
1103,Technical & Maintenance Team Leader,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Security and Surveillance', 'Engineering Services']"
1104,Office Admin,['Administration'],['Marketing and Advertising']
1105,Social Media & Graphic Design Intern - Online,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Creative/Design/Art']","['Graphic Design', 'Media Production', 'Marketing and Advertising']"
1106,Hospital Management System Implementer,"['Business Development', 'Installation/Maintenance/Repair', 'IT/Software Development']","['Business Services - Other', 'Information Technology Services', 'Computer Software']"
1107,Quality Control Chemist - Assiut,"['R&D/Science', 'Quality']",['Manufacturing']
1108,Projects Manager - Cloud Services Delivery,"['Engineering - Telecom/Technology', 'IT/Software Development', 'Project/Program Management']","['Computer Software', 'Information Technology Services']"
1109,Senior PHP Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
1110,Product Manager,"['Marketing/PR/Advertising', 'Business Development']",['Information Technology Services']
1111,Unity Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Graphic Design', 'Computer Games', 'Computer Software']"
1112,Projects Manager - Cloud Services Delivery,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Project/Program Management']","['Computer Software', 'Information Technology Services']"
1113,Indoor Sales Executive,['Sales/Retail'],"['Training and Coaching', 'Education']"
1114,Telemarketing Consultant - Females Only,"['Customer Service/Support', 'Sales/Retail']",['Information Technology Services']
1115,Technical Deployment Project Lead - Tunis,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
1116,Purchasing Specialist,['nan'],"['Construction - Residential & Commercial/Office', 'Construction - Industrial Facilities and Infrastructure']"
1117,Architectural Engineer,['Engineering - Construction/Civil/Architecture'],"['Construction - Residential & Commercial/Office', 'Marketing and Advertising']"
1118,Online English Tutor,"['Training/Instructor', 'Education/Teaching']",['Education']
1119,Sales Account Manager,['Sales/Retail'],"['Marketing and Advertising', 'Architectural and Design Services']"
1120,Homeroom Teacher - Grade 1,['Education/Teaching'],['Education']
1121,Admin Assistant,['Administration'],['Real Estate/Property Management']
1122,Digital Marketer,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Computer Software', 'Pharmaceuticals']"
1123,Social Media Specialist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Internet/E-commerce', 'Information Technology Services']"
1124,UI-UX Graphic Designer,['Creative/Design/Art'],"['Internet/E-commerce', 'Marketing and Advertising', 'Information Technology Services']"
1125,Senior Web Solution Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
1126,English Content Editor,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Writing/Editorial']","['Internet/E-commerce', 'Information Technology Services', 'Computer Software']"
1127,Financial Software Consultant,"['IT/Software Development', 'Accounting/Finance']",['Computer Software']
1128,Finance Manager,['Accounting/Finance'],['Engineering Services']
1129,Front End Web Developer - Hurghada,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Outsourcing/Offshoring', 'Computer Software']"
1130,Sales Executive,"['Sales/Retail', 'Customer Service/Support']","['Architectural and Design Services', 'Real Estate/Property Management']"
1131,Sales Manager - Wholesale,['Sales/Retail'],"['Wholesale Trade', 'Manufacturing']"
1132,Senior Software Testing Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development', 'Quality']",['Information Technology Services']
1133,Finance Assistant,['Accounting/Finance'],"['Non-Profit Organizations', 'Financial Services', 'Healthcare and Medical Services']"
1134,Senior Infrastructure System Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software', 'Computer Hardware']"
1135,Community Manager,['Administration'],"['Real Estate/Property Management', 'Business Services - Other']"
1136,Senior Front End Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
1137,Senior Front End Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
1138,Pre-Sales Engineer,"['Sales/Retail', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Hardware', 'Computer Networking']"
1139,Foreign Purchasing Specialist,['Purchasing/Procurement'],"['Manufacturing', 'Plastics']"
